time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1577837028.79965901,0.03173916,0.00334082,0.00000373,73507.00000000,0.02805573,0.000000,0.000000
1577837028.89949107,0.03173980,0.00448190,0.00000405,73562.00000000,0.03205300,0.000000,0.000000
1577837028.99935007,0.03172951,0.00325094,0.00000387,73613.00000000,0.02667831,0.000000,0.000000
1577837029.09997010,0.03171977,0.00382538,0.00000382,73663.00000000,0.02692583,0.000000,0.000000
1577837029.19980216,0.03175066,0.00392554,0.00000562,73672.00000000,0.04698130,0.000000,0.000000
1577837029.29963398,0.03174463,0.00384389,0.00000464,73703.00000000,0.02876344,0.000000,0.000000
1577837029.39948297,0.03173137,0.00525749,0.00000343,73738.00000000,0.02516672,0.000000,0.000000
1577837029.49933004,0.03172047,0.00363870,0.00000404,73773.00000000,0.02631478,0.000000,0.000000
1577837029.59998202,0.03170385,0.00278690,0.00000375,73799.00000000,0.02344644,0.000000,0.000000
1577837029.69982696,0.03171385,0.00354623,0.00000519,73818.00000000,0.03669030,0.000000,0.000000
1577837029.79965806,0.03169849,0.00367089,0.00000339,73811.00000000,0.02403521,0.000000,0.000000
1577837029.89949489,0.03168540,0.00364233,0.00000387,73844.00000000,0.02514178,0.000000,0.000000
1577837029.99934101,0.03170337,0.00352032,0.00000474,73865.00000000,0.04070586,0.000000,0.000000
1577837030.09997797,0.03176013,0.00287044,0.00000376,73873.00000000,0.06025218,0.000000,0.000000
1577837030.19983101,0.03175340,0.00336785,0.00000376,73890.00000000,0.02836918,0.000000,0.000000
1577837030.29967093,0.03174727,0.00399594,0.00000403,73902.00000000,0.02865588,0.000000,0.000000
1577837030.39952803,0.03175371,0.00437092,0.00000475,73924.00000000,0.03500543,0.000000,0.000000
1577837030.49937201,0.03174312,0.00333656,0.00000369,73978.00000000,0.02638749,0.000000,0.000000
1577837030.59961605,0.03173452,0.00440577,0.00000381,73999.00000000,0.02737323,0.000000,0.000000
1577837030.69945002,0.03173216,0.00361265,0.00000437,74023.00000000,0.03053184,0.000000,0.000000
1577837030.79929900,0.03174332,0.00445983,0.00000466,74107.00000000,0.03742580,0.000000,0.000000
1577837030.89991903,0.03174408,0.00493608,0.00000420,74187.00000000,0.03213220,0.000000,0.000000
1577837030.99976492,0.03173610,0.00357088,0.00000378,74212.00000000,0.02765491,0.000000,0.000000
1577837031.09960389,0.03172573,0.00380352,0.00000368,74266.00000000,0.02641843,0.000000,0.000000
1577837031.19942093,0.03174796,0.00462850,0.00000506,74308.00000000,0.04314949,0.000000,0.000000
1577837031.29964709,0.03175507,0.00611725,0.00000418,74354.00000000,0.03540981,0.000000,0.000000
1577837031.39948106,0.03174812,0.00432957,0.00000421,74388.00000000,0.02816887,0.000000,0.000000
1577837031.49932384,0.03173510,0.00327831,0.00000379,74407.00000000,0.02501942,0.000000,0.000000
1577837031.59997702,0.03178589,0.00559972,0.00000675,74481.00000000,0.05804441,0.000000,0.000000
1577837031.69982481,0.03178868,0.00360538,0.00000433,74521.00000000,0.03323172,0.000000,0.000000
1577837031.79966116,0.03179525,0.00483488,0.00000473,74458.00000000,0.03520699,0.000000,0.000000
1577837031.89950013,0.03179806,0.00487336,0.00000495,74481.00000000,0.03325973,0.000000,0.000000
1577837031.99933314,0.03182138,0.00481868,0.00000663,74482.00000000,0.04396818,0.000000,0.000000
1577837032.09997487,0.03184612,0.00551801,0.00000593,74530.00000000,0.04476095,0.000000,0.000000
1577837032.19982100,0.03189289,0.00512738,0.00000503,74601.00000000,0.05635570,0.000000,0.000000
1577837032.29967403,0.03190142,0.00524981,0.00000468,74685.00000000,0.03637237,0.000000,0.000000
1577837032.39951420,0.03190893,0.00475233,0.00000421,74696.00000000,0.03584849,0.000000,0.000000
1577837032.49936414,0.03192256,0.00511627,0.00000369,74790.00000000,0.03909488,0.000000,0.000000
1577837032.59999490,0.03194697,0.00706759,0.00000497,74801.00000000,0.04481103,0.000000,0.000000
1577837032.69982910,0.03194934,0.00466943,0.00000404,74857.00000000,0.03320022,0.000000,0.000000
1577837032.79966497,0.03195477,0.00492561,0.00000443,74896.00000000,0.03482593,0.000000,0.000000
1577837032.89951897,0.03198268,0.01348055,0.00000455,74904.00000000,0.04677778,0.000000,0.000000
1577837032.99935794,0.03198993,0.00489474,0.00000435,74958.00000000,0.03583487,0.000000,0.000000
1577837033.09998894,0.03199164,0.00476797,0.00000427,74963.00000000,0.03290625,0.000000,0.000000
1577837033.19982004,0.03203349,0.00806256,0.00000491,75007.00000000,0.05433726,0.000000,0.000000
1577837033.29964805,0.03203589,0.00398036,0.00000415,75051.00000000,0.03331804,0.000000,0.000000
1577837033.39949107,0.03204546,0.00448546,0.00000428,75056.00000000,0.03716368,0.000000,0.000000
1577837033.49933100,0.03203924,0.00401661,0.00000392,75094.00000000,0.02870407,0.000000,0.000000
1577837033.59996009,0.03203228,0.00389292,0.00000386,75131.00000000,0.02829620,0.000000,0.000000
1577837033.69978499,0.03202383,0.00334976,0.00000386,75172.00000000,0.02747869,0.000000,0.000000
1577837033.79962587,0.03205377,0.00449733,0.00000578,75182.00000000,0.04818921,0.000000,0.000000
1577837033.89945507,0.03204742,0.00421482,0.00000396,75192.00000000,0.02862250,0.000000,0.000000
1577837033.99929285,0.03204142,0.00335933,0.00000388,75157.00000000,0.02879473,0.000000,0.000000
1577837034.09991097,0.03203806,0.00413960,0.00000392,75163.00000000,0.03021413,0.000000,0.000000
1577837034.19975400,0.03205333,0.00411579,0.00000572,75177.00000000,0.04034617,0.000000,0.000000
1577837034.29961181,0.03204013,0.00307731,0.00000369,75204.00000000,0.02485829,0.000000,0.000000
1577837034.39944816,0.03202534,0.00291185,0.00000369,75233.00000000,0.02396641,0.000000,0.000000
1577837034.49928808,0.03201053,0.00294237,0.00000367,75252.00000000,0.02392472,0.000000,0.000000
1577837034.59992599,0.03204240,0.00360748,0.00000570,75284.00000000,0.04947228,0.000000,0.000000
1577837034.69976902,0.03203648,0.00394691,0.00000417,75329.00000000,0.02879675,0.000000,0.000000
1577837034.79961491,0.03204115,0.00517683,0.00000421,75349.00000000,0.03460069,0.000000,0.000000
1577837034.89944005,0.03203044,0.00275128,0.00000421,75378.00000000,0.02614367,0.000000,0.000000
1577837034.99928904,0.03207049,0.00341388,0.00000554,75386.00000000,0.05413381,0.000000,0.000000
1577837035.09992909,0.03205441,0.00273599,0.00000367,75387.00000000,0.02318362,0.000000,0.000000
1577837035.19976306,0.03205322,0.00346828,0.00000456,75415.00000000,0.03139508,0.000000,0.000000
1577837035.29961085,0.03204136,0.00311055,0.00000375,75424.00000000,0.02547032,0.000000,0.000000
1577837035.39945388,0.03203855,0.00353833,0.00000424,75383.00000000,0.03047953,0.000000,0.000000
1577837035.49929714,0.03202278,0.00285255,0.00000370,75397.00000000,0.02325046,0.000000,0.000000
1577837035.59993815,0.03202284,0.00448120,0.00000395,75428.00000000,0.03205963,0.000000,0.000000
